do	du	10	d	u
did	dId	100	d	Id
done	dVn	100	d	Vn
doing	duIN	1000	d	uIN
done	dVn	100	d	Vn
does	dVz	100	d	Vz
say	s1	10	s	1
said	sEd	100	s	Ed
said	sEd	100	s	Ed
saying	s1IN	1000	s	1IN
says	s1z	100	s	1z
get	gEt	101	gt	E
got	gQt	101	gt	Q
gotten	gQtH	1010	gt	QH
got	gQt	101	gt	Q
getting	gEtIN	10100	gt	EIN
gotten	gQtH	1010	gt	QH
gets	gEts	1010	gt	Es
make	m1k	110	m1	k
made	m1d	110	m1	d
made	m1d	110	m1	d
making	m1kIN	11000	m1	kIN
makes	m1ks	1100	m1	ks
know	n5	10	n	5
knew	nju	100	n	ju
known	n5n	100	n	5n
knowing	n5IN	1000	n	5IN
known	n5n	100	n	5n
knows	n5z	100	n	5z
see	si	10	s	i
saw	s$	10	s	$
seen	sin	100	s	in
seeing	siIN	1000	s	iIN
seen	sin	100	s	in
sees	siz	100	s	iz
think	TINk	1000	T	INk
thought	T$t	100	T	$t
thought	T$t	100	T	$t
thinking	TINkIN	100000	T	INkIN
thinks	TINks	10000	T	INks
come	kVm	101	km	V
came	k1m	101	km	1
come	kVm	101	km	V
coming	kVmIN	10100	km	VIN
comes	kVmz	1010	km	Vz
take	t1k	101	tk	1
took	tUk	101	tk	U
taken	t1k@n	10100	tk	1@n
taking	t1kIN	10100	tk	1IN
taken	t1k@n	10100	tk	1@n
takes	t1ks	1010	tk	1s
look	lUk	111	lUk	
looked	lUkt	1110	lUk	t
looked	lUkt	1110	lUk	t
looking	lUkIN	11100	lUk	IN
looks	lUks	1110	lUk	s
give	gIv	101	gv	I
gave	g1v	101	gv	1
given	gIvH	1010	gv	IH
giving	gIvIN	10100	gv	IIN
given	gIvH	1010	gv	IH
gives	gIvz	1010	gv	Iz
want	wQnt	1111	wQnt	
wanted	wQntId	111100	wQnt	Id
wanted	wQntId	111100	wQnt	Id
wanting	wQntIN	111100	wQnt	IN
wants	wQnts	11110	wQnt	s
find	f2nd	1011	fnd	2
found	f6nd	1011	fnd	6
found	f6nd	1011	fnd	6
finding	f2ndIN	101100	fnd	2IN
finds	f2ndz	10110	fnd	2z
tell	tEl	101	tl	E
told	t5ld	1010	tl	5d
told	t5ld	1010	tl	5d
telling	tElIN	10100	tl	EIN
tells	tElz	1010	tl	Ez
use	juz	111	juz	
used	juzd	1110	juz	d
used	juzd	1110	juz	d
using	juzIN	11100	juz	IN
uses	juzIz	11100	juz	Iz
seem	sim	111	sim	
seemed	simd	1110	sim	d
seemed	simd	1110	sim	d
seeming	simIN	11100	sim	IN
seems	simz	1110	sim	z
feel	fil	101	fl	i
felt	fElt	1010	fl	Et
felt	fElt	1010	fl	Et
feeling	filIN	10100	fl	iIN
feels	filz	1010	fl	iz
become	bIkVm	11101	bIkm	V
became	bIk1m	11101	bIkm	1
become	bIkVm	11101	bIkm	V
becoming	bIkVmIN	1110100	bIkm	VIN
becomes	bIkVmz	111010	bIkm	Vz
ask	#sk	111	#sk	
asked	#skt	1110	#sk	t
asked	#skt	1110	#sk	t
asking	#skIN	11100	#sk	IN
asks	#sks	1110	#sk	s
put	pUt	111	pUt	
put	pUt	111	pUt	
put	pUt	111	pUt	
putting	pUtIN	11100	pUt	IN
puts	pUts	1110	pUt	s
leave	liv	100	l	iv
left	lEft	1000	l	Eft
left	lEft	1000	l	Eft
leaving	livIN	10000	l	ivIN
leaves	livz	1000	l	ivz
try	tr2	111	tr2	
tried	tr2d	1110	tr2	d
tried	tr2d	1110	tr2	d
trying	tr2IN	11100	tr2	IN
tries	tr2z	1110	tr2	z
mean	min	101	mn	i
meant	mEnt	1010	mn	Et
meant	mEnt	1010	mn	Et
meaning	minIN	10100	mn	iIN
means	minz	1010	mn	iz
call	k$l	111	k$l	
called	k$ld	1110	k$l	d
called	k$ld	1110	k$l	d
calling	k$lIN	11100	k$l	IN
calls	k$lz	1110	k$l	z
begin	bIgIn	11101	bIgn	I
began	bIg{n	11101	bIgn	{
begun	bIgVn	11101	bIgn	V
beginning	bIgInIN	1110100	bIgn	IIN
begun	bIgVn	11101	bIgn	V
begins	bIgInz	111010	bIgn	Iz
keep	kip	101	kp	i
kept	kEpt	1010	kp	Et
kept	kEpt	1010	kp	Et
keeping	kipIN	10100	kp	iIN
keeps	kips	1010	kp	is
turn	t3n	111	t3n	
turned	t3nd	1110	t3n	d
turned	t3nd	1110	t3n	d
turning	t3nIN	11100	t3n	IN
turns	t3nz	1110	t3n	z
need	nid	111	nid	
needed	nidId	11100	nid	Id
needed	nidId	11100	nid	Id
needing	nidIN	11100	nid	IN
needs	nidz	1110	nid	z
work	w3k	111	w3k	
worked	w3kt	1110	w3k	t
worked	w3kt	1110	w3k	t
working	w3kIN	11100	w3k	IN
works	w3ks	1110	w3k	s
live	lIv	111	lIv	
lived	lIvd	1110	lIv	d
lived	lIvd	1110	lIv	d
living	lIvIN	11100	lIv	IN
lives	lIvz	1110	lIv	z
bring	brIN	1100	br	IN
brought	br$t	1100	br	$t
brought	br$t	1100	br	$t
bringing	brININ	110000	br	ININ
brings	brINz	11000	br	INz
talk	t$k	111	t$k	
talked	t$kt	1110	t$k	t
talked	t$kt	1110	t$k	t
talking	t$kIN	11100	t$k	IN
talks	t$ks	1110	t$k	s
hear	h7r	101	hr	7
heard	h3rd	1010	hr	3d
heard	h3rd	1010	hr	3d
hearing	h7rIN	10100	hr	7IN
hears	h7rz	1010	hr	7z
sit	sIt	101	st	I
sat	s{t	101	st	{
sat	s{t	101	st	{
sitting	sItIN	10100	st	IIN
sits	sIts	1010	st	Is
show	S5	11	S5	
showed	S5d	110	S5	d
shown	S5n	110	S5	n
showed	S5d	110	S5	d
showing	S5IN	1100	S5	IN
shown	S5n	110	S5	n
shows	S5z	110	S5	z
stand	st{nd	11000	st	{nd
stood	stUd	1100	st	Ud
stood	stUd	1100	st	Ud
standing	st{ndIN	1100000	st	{ndIN
stands	st{ndz	110000	st	{ndz
hold	h5ld	1011	hld	5
held	hEld	1011	hld	E
held	hEld	1011	hld	E
holding	h5ldIN	101100	hld	5IN
holds	h5ldz	10110	hld	5z
write	r2t	101	rt	2
wrote	r5t	101	rt	5
written	rItH	1010	rt	IH
writing	r2tIN	10100	rt	2IN
written	rItH	1010	rt	IH
writes	r2ts	1010	rt	2s
change	J1n_	1111	J1n_	
changed	J1n_d	11110	J1n_	d
changed	J1n_d	11110	J1n_	d
changing	J1n_IN	111100	J1n_	IN
changes	J1n_Iz	111100	J1n_	Iz
start	st#t	1111	st#t	
started	st#tId	111100	st#t	Id
started	st#tId	111100	st#t	Id
starting	st#tIN	111100	st#t	IN
starts	st#ts	11110	st#t	s
run	rVn	101	rn	V
ran	r{n	101	rn	{
run	rVn	101	rn	V
running	rVnIN	10100	rn	VIN
runs	rVnz	1010	rn	Vz
happen	h{p@n	11111	h{p@n	
happened	h{p@nd	111110	h{p@n	d
happened	h{p@nd	111110	h{p@n	d
happening	h{p@nIN	1111100	h{p@n	IN
happens	h{p@nz	111110	h{p@n	z
let	lEt	111	lEt	
let	lEt	111	lEt	
let	lEt	111	lEt	
letting	lEtIN	11100	lEt	IN
lets	lEts	1110	lEt	s
move	muv	111	muv	
moved	muvd	1110	muv	d
moved	muvd	1110	muv	d
moving	muvIN	11100	muv	IN
moves	muvz	1110	muv	z
believe	bIliv	11111	bIliv	
believed	bIlivd	111110	bIliv	d
believed	bIlivd	111110	bIliv	d
believing	bIlivIN	1111100	bIliv	IN
