id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pakdy_train	pakdy	meiktoo	meiktoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
digga_train	digga	tahllei	tahllei.wav	train	16	1	1	1	4	1	1	1	rrrss	a3
gidte_train	gidte	lahtpoh	lahtpoh.wav	train	4	1	1	1	1	4	1	1	rrrss	a3
kudky_train	kudky	keetkoo	keetkoo.wav	train	1	1	1	1	1	1	0	0	rrrss	a3
batda_train	batda	seiptei	seiptei.wav	train	1	1	1	1	1	1	0	0	rrrss	a3
gekbe_train	gekbe	lohksoh	lohksoh.wav	train	1	1	1	1	1	1	0	0	rrrss	a3
pybgy_train	pybgy	moosloo	moosloo.wav	train	1	1	1	1	1	1	0	0	rrrss	a3
tagti_train	tagti	peilpah	peilpah.wav	train	1	1	1	1	1	1	0	0	rrrss	a3
kibpu_train	kibpu	kahsmee	kahsmee.wav	train	1	1	1	1	1	1	0	0	rrrss	a3
pegko_train	pegko	mohlkai	mohlkai.wav	train	1	1	1	1	1	1	0	0	rrrss	a3
keptu_train	keptu	kohmpee	kohmpee.wav	train	16	1	1	1	4	1	1	1	rrrss	a3
topgu_train	topgu	paimlee	paimlee.wav	train	4	1	1	1	1	4	1	1	rrrss	a3
butpi_train	butpi	seepmah	seepmah.wav	train	16	1	1	1	4	1	1	1	rrrss	a3
dotbi_train	dotbi	taipsah	taipsah.wav	train	4	1	1	1	1	4	1	1	rrrss	a3
bykka_train	bykka	sookkei	sookkei.wav	train	4	1	1	1	1	4	1	1	rrrss	a3
tydde_train	tydde	poottoh	poottoh.wav	train	16	1	1	1	4	1	1	1	rrrss	a3
gobbo_train	gobbo	laissai	laissai.wav	train	16	1	1	1	4	1	1	1	rrrss	a3
duppo_train	duppo	teemmai	teemmai.wav	train	4	1	1	1	1	4	1	1	rrrss	a3
pakte_train	pakte	meikpoh	meikpoh.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
digdy_train	digdy	tahltoo	tahltoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
pakgu_train	pakgu	meiklee	meiklee.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
kepdy_train	kepdy	kohmtoo	kohmtoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
pakpo_train	pakpo	meikmai	meikmai.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
gobdy_train	gobdy	laistoo	laistoo.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
digbi_train	digbi	tahlsah	tahlsah.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
butte_train	butte	seeppoh	seeppoh.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
digpo_train	digpo	tahlmai	tahlmai.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
gobte_train	gobte	laispoh	laispoh.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
kepbi_train	kepbi	kohmsah	kohmsah.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
butgu_train	butgu	seeplee	seeplee.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
kepka_train	kepka	kohmkei	kohmkei.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
tydgu_train	tydgu	pootlee	pootlee.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
butka_train	butka	seepkei	seepkei.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
tydbi_train	tydbi	pootsah	pootsah.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
gobka_train	gobka	laiskei	laiskei.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
tydpo_train	tydpo	pootmai	pootmai.wav	train	64	1	1	1	4	4	1	1	rrrss	a3
pakdy_test	pakdy	meiktoo	meiktoo.wav	test	64	1	1	1	4	4	1	1	rrrss	a3
digga_test	digga	tahllei	tahllei.wav	test	16	1	1	1	4	1	1	1	rrrss	a3
gidte_test	gidte	lahtpoh	lahtpoh.wav	test	4	1	1	1	1	4	1	1	rrrss	a3
kudky_test	kudky	keetkoo	keetkoo.wav	test	1	1	1	1	1	1	0	0	rrrss	a3
kepgu_test	kepgu	kohmlee	kohmlee.wav	test	64	0	1	1	4	4	1	1	rrrss	a3
butde_test	butde	seeptoh	seeptoh.wav	test	16	0	1	1	4	1	1	1	rrrss	a3
bykbi_test	bykbi	sooksah	sooksah.wav	test	4	0	1	1	1	4	1	1	rrrss	a3
gobbe_test	gobbe	laissoh	laissoh.wav	test	16	0	1	1	4	1	1	0	rrrss	a3
batpo_test	batpo	seipmai	seipmai.wav	test	4	0	1	1	1	4	0	1	rrrss	a3
tydge_test	tydge	pootloh	pootloh.wav	test	16	0	1	0	4	0	1	0	rrrss	a3
degka_test	degka	tohlkei	tohlkei.wav	test	4	0	0	1	0	4	0	1	rrrss	a3
toptu_test	toptu	paimpee	paimpee.wav	test	1	0	1	1	1	1	1	1	rrrss	a3
dupti_test	dupti	teempah	teempah.wav	test	1	0	1	1	1	1	1	0	rrrss	a3
pybbo_test	pybbo	moossai	moossai.wav	test	1	0	1	1	1	1	0	1	rrrss	a3
kibko_test	kibko	kahskai	kahskai.wav	test	1	0	1	1	1	1	0	0	rrrss	a3
dotpy_test	dotpy	taipmoo	taipmoo.wav	test	1	0	1	0	1	0	1	0	rrrss	a3
pekpi_test	pekpi	mohkmah	mohkmah.wav	test	1	0	0	1	0	1	0	1	rrrss	a3
gekdu_test	gekdu	lohktee	lohktee.wav	test	1	0	1	0	1	0	0	0	rrrss	a3
tupda_test	tupda	peemtei	peemtei.wav	test	1	0	0	1	0	1	0	0	rrrss	a3
pobke_distractor	pobke	maiskoh	maiskoh.wav	distractor	64	0	0	0	0	0	0	0	rrrss	a3
gupty_distractor	gupty	leempoo	leempoo.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a3
katpe_distractor	katpe	keipmoh	keipmoh.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a3
kybge_distractor	kybge	koosloh	koosloh.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a3
dydbu_distractor	dydbu	tootsee	tootsee.wav	distractor	64	0	0	0	0	0	0	0	rrrss	a3
pigpa_distractor	pigpa	mahlmei	mahlmei.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a3
tekpy_distractor	tekpy	pohkmoo	pohkmoo.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a3
depdi_distractor	depdi	tohmtah	tohmtah.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a3
gupdu_distractor	gupdu	leemtee	leemtee.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a3
bidgo_distractor	bidgo	sahtlai	sahtlai.wav	distractor	16	0	0	0	0	0	0	0	rrrss	a3
bakto_distractor	bakto	seikpai	seikpai.wav	distractor	4	0	0	0	0	0	0	0	rrrss	a3
tudki_distractor	tudki	peetkah	peetkah.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a3
begku_distractor	begku	sohlkee	sohlkee.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a3
kopta_distractor	kopta	kaimpei	kaimpei.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a3
botdo_distractor	botdo	saiptai	saiptai.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a3
gybba_distractor	gybba	loossei	loossei.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a3
tibgi_distractor	tibgi	pahslah	pahslah.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a3
datku_distractor	datku	teipkee	teipkee.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a3
gykby_distractor	gykby	looksoo	looksoo.wav	distractor	1	0	0	0	0	0	0	0	rrrss	a3
