id	item_abstract	item_ortho	audio	item_type	bigram	is_training_word	is_training_root	is_training_residue	root_frequency	residue_frequency	root_extractability	residue_extractability	template	variation
pabdo_train	pabdo	leepmai	leepmai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
dukti_train	dukti	mahtkoo	mahtkoo.wav	train	4	1	1	1	4	1	1	1	rsrsr	c1
gutbi_train	gutbi	sahkpoo	sahkpoo.wav	train	4	1	1	1	1	4	1	1	rsrsr	c1
detka_train	detka	meiktee	meiktee.wav	train	4	1	1	1	1	1	0	0	rsrsr	c1
buddu_train	buddu	pahmmah	pahmmah.wav	train	4	1	1	1	1	1	0	0	rsrsr	c1
topdy_train	topdy	kailmoh	kailmoh.wav	train	4	1	1	1	1	1	0	0	rsrsr	c1
kapto_train	kapto	teelkai	teelkai.wav	train	8	1	1	1	1	1	0	0	rsrsr	c1
pigpe_train	pigpe	looslei	looslei.wav	train	4	1	1	1	1	1	0	0	rsrsr	c1
gybgy_train	gybgy	sohpsoh	sohpsoh.wav	train	8	1	1	1	1	1	0	0	rsrsr	c1
dykba_train	dykba	mohtpee	mohtpee.wav	train	4	1	1	1	1	1	0	0	rsrsr	c1
botpa_train	botpa	paiklee	paiklee.wav	train	4	1	1	1	4	1	1	1	rsrsr	c1
bekpi_train	bekpi	peitloo	peitloo.wav	train	4	1	1	1	1	4	1	1	rsrsr	c1
kipky_train	kipky	tooltoh	tooltoh.wav	train	4	1	1	1	4	1	1	1	rsrsr	c1
tibgo_train	tibgo	koopsai	koopsai.wav	train	8	1	1	1	1	4	1	1	rsrsr	c1
pydtu_train	pydtu	lohmkah	lohmkah.wav	train	4	1	1	1	1	4	1	1	rsrsr	c1
gadbu_train	gadbu	seempah	seempah.wav	train	4	1	1	1	4	1	1	1	rsrsr	c1
tegge_train	tegge	keissei	keissei.wav	train	4	1	1	1	4	1	1	1	rsrsr	c1
kogke_train	kogke	taistei	taistei.wav	train	4	1	1	1	1	4	1	1	rsrsr	c1
pubbo_train	pubbo	lahppai	lahppai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
dakdi_train	dakdi	meetmoo	meetmoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
pebpo_train	pebpo	leiplai	leiplai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
batda_train	batda	peekmee	peekmee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
pobko_train	pobko	laiptai	laiptai.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
tagde_train	tagde	keesmei	keesmei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
dikgi_train	dikgi	mootsoo	mootsoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
kupby_train	kupby	tahlpoh	tahlpoh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
dokki_train	dokki	maittoo	maittoo.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
tugbe_train	tugbe	kahspei	kahspei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
bitga_train	bitga	pooksee	pooksee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
keppy_train	keppy	teilloh	teilloh.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
bytta_train	bytta	pohkkee	pohkkee.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
gedpu_train	gedpu	seimlah	seimlah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
kypty_train	kypty	tohlkoh	tohlkoh.wav	train	8	1	1	1	4	4	1	1	rsrsr	c1
gidgu_train	gidgu	soomsah	soomsah.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
tygte_train	tygte	kohskei	kohskei.wav	train	4	1	1	1	4	4	1	1	rsrsr	c1
