default_constraint_rankings
--------------------------------------------------
ranking	suffix	prefix	infix	nonconcat_cv	nonconcat_unattested
contiguity >> c_adj_v >> align_left_root >> align_left_residue >> align_right_root >> align_right_residue	8	2	0	0	0
contiguity >> c_adj_v >> align_left_root >> align_left_residue >> align_right_residue >> align_right_root	8	2	0	0	0
contiguity >> c_adj_v >> align_left_root >> align_right_root >> align_left_residue >> align_right_residue	8	2	0	0	0
contiguity >> c_adj_v >> align_left_root >> align_right_root >> align_right_residue >> align_left_residue	8	2	0	0	0
contiguity >> c_adj_v >> align_left_root >> align_right_residue >> align_left_residue >> align_right_root	8	2	0	0	0
contiguity >> c_adj_v >> align_left_root >> align_right_residue >> align_right_root >> align_left_residue	8	2	0	0	0
contiguity >> c_adj_v >> align_left_residue >> align_left_root >> align_right_root >> align_right_residue	2	8	0	0	0
contiguity >> c_adj_v >> align_left_residue >> align_left_root >> align_right_residue >> align_right_root	2	8	0	0	0
contiguity >> c_adj_v >> align_left_residue >> align_right_root >> align_left_root >> align_right_residue	2	8	0	0	0
contiguity >> c_adj_v >> align_left_residue >> align_right_root >> align_right_residue >> align_left_root	2	8	0	0	0
contiguity >> c_adj_v >> align_left_residue >> align_right_residue >> align_left_root >> align_right_root	2	8	0	0	0
contiguity >> c_adj_v >> align_left_residue >> align_right_residue >> align_right_root >> align_left_root	2	8	0	0	0
contiguity >> c_adj_v >> align_right_root >> align_left_root >> align_left_residue >> align_right_residue	2	8	0	0	0
contiguity >> c_adj_v >> align_right_root >> align_left_root >> align_right_residue >> align_left_residue	2	8	0	0	0
contiguity >> c_adj_v >> align_right_root >> align_left_residue >> align_left_root >> align_right_residue	2	8	0	0	0
contiguity >> c_adj_v >> align_right_root >> align_left_residue >> align_right_residue >> align_left_root	2	8	0	0	0
contiguity >> c_adj_v >> align_right_root >> align_right_residue >> align_left_root >> align_left_residue	2	8	0	0	0
contiguity >> c_adj_v >> align_right_root >> align_right_residue >> align_left_residue >> align_left_root	2	8	0	0	0
contiguity >> c_adj_v >> align_right_residue >> align_left_root >> align_left_residue >> align_right_root	8	2	0	0	0
contiguity >> c_adj_v >> align_right_residue >> align_left_root >> align_right_root >> align_left_residue	8	2	0	0	0
contiguity >> c_adj_v >> align_right_residue >> align_left_residue >> align_left_root >> align_right_root	8	2	0	0	0
contiguity >> c_adj_v >> align_right_residue >> align_left_residue >> align_right_root >> align_left_root	8	2	0	0	0
contiguity >> c_adj_v >> align_right_residue >> align_right_root >> align_left_root >> align_left_residue	8	2	0	0	0
contiguity >> c_adj_v >> align_right_residue >> align_right_root >> align_left_residue >> align_left_root	8	2	0	0	0
contiguity >> align_left_root >> c_adj_v >> align_left_residue >> align_right_root >> align_right_residue	10	0	0	0	0
contiguity >> align_left_root >> c_adj_v >> align_left_residue >> align_right_residue >> align_right_root	10	0	0	0	0
contiguity >> align_left_root >> c_adj_v >> align_right_root >> align_left_residue >> align_right_residue	10	0	0	0	0
contiguity >> align_left_root >> c_adj_v >> align_right_root >> align_right_residue >> align_left_residue	10	0	0	0	0
contiguity >> align_left_root >> c_adj_v >> align_right_residue >> align_left_residue >> align_right_root	10	0	0	0	0
contiguity >> align_left_root >> c_adj_v >> align_right_residue >> align_right_root >> align_left_residue	10	0	0	0	0
contiguity >> align_left_root >> align_left_residue >> c_adj_v >> align_right_root >> align_right_residue	10	0	0	0	0
contiguity >> align_left_root >> align_left_residue >> c_adj_v >> align_right_residue >> align_right_root	10	0	0	0	0
contiguity >> align_left_root >> align_left_residue >> align_right_root >> c_adj_v >> align_right_residue	10	0	0	0	0
contiguity >> align_left_root >> align_left_residue >> align_right_root >> align_right_residue >> c_adj_v	10	0	0	0	0
contiguity >> align_left_root >> align_left_residue >> align_right_residue >> c_adj_v >> align_right_root	10	0	0	0	0
contiguity >> align_left_root >> align_left_residue >> align_right_residue >> align_right_root >> c_adj_v	10	0	0	0	0
contiguity >> align_left_root >> align_right_root >> c_adj_v >> align_left_residue >> align_right_residue	10	0	0	0	0
contiguity >> align_left_root >> align_right_root >> c_adj_v >> align_right_residue >> align_left_residue	10	0	0	0	0
contiguity >> align_left_root >> align_right_root >> align_left_residue >> c_adj_v >> align_right_residue	10	0	0	0	0
contiguity >> align_left_root >> align_right_root >> align_left_residue >> align_right_residue >> c_adj_v	10	0	0	0	0
contiguity >> align_left_root >> align_right_root >> align_right_residue >> c_adj_v >> align_left_residue	10	0	0	0	0
contiguity >> align_left_root >> align_right_root >> align_right_residue >> align_left_residue >> c_adj_v	10	0	0	0	0
contiguity >> align_left_root >> align_right_residue >> c_adj_v >> align_left_residue >> align_right_root	10	0	0	0	0
contiguity >> align_left_root >> align_right_residue >> c_adj_v >> align_right_root >> align_left_residue	10	0	0	0	0
contiguity >> align_left_root >> align_right_residue >> align_left_residue >> c_adj_v >> align_right_root	10	0	0	0	0
contiguity >> align_left_root >> align_right_residue >> align_left_residue >> align_right_root >> c_adj_v	10	0	0	0	0
contiguity >> align_left_root >> align_right_residue >> align_right_root >> c_adj_v >> align_left_residue	10	0	0	0	0
contiguity >> align_left_root >> align_right_residue >> align_right_root >> align_left_residue >> c_adj_v	10	0	0	0	0
contiguity >> align_left_residue >> c_adj_v >> align_left_root >> align_right_root >> align_right_residue	0	10	0	0	0
contiguity >> align_left_residue >> c_adj_v >> align_left_root >> align_right_residue >> align_right_root	0	10	0	0	0
